code,price_jpy,price_date,change_1d_pct,change_1m_pct,change_1y_pct,market_cap_oku,market_cap_tier,per,per_forecast,pbr,psr,ev_ebitda,peg,roe,dividend_yield,dividend_annual,dividend_payout_ratio,total_return_yield,ma_25,ma_75,ma_200,high_52w,low_52w,rsi_14,avg_volume_3m,credit_buy,credit_sell,credit_ratio,price_history_json,foreign_ownership,individual_ownership,stable_ownership,latest_revenue_oku,latest_op_profit_oku,latest_op_margin,target_consensus,target_high,target_low,analyst_buy,analyst_hold,analyst_sell,valuation_verdict,valuation_score,updated_at
1826,1004,2026-06-26,0.8032128,-1.1811023622047243,-10.277033065236818,121,,12.546864,,1.0655674,,,,,6.0240965,,,,996.2,,,1296,962,64,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.964Z
1827,1226,2026-06-26,1.1551155,-6.838905775075988,69.80609418282549,421,,9.605892,,0.8469231,,,,,3.1353134999999996,,,,1226.36,,,1710,709,59.285714285714285,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.965Z
1828,2346,2026-06-26,-1.8410041,3.3480176211453743,5.770964833183047,246,,7.1326504,,0.88024896,,,,,4.1841004,,,,2296.84,,,2978,2163,66.1596958174905,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.965Z
1833,5650,2026-06-26,1.0733453,0.7130124777183601,30.184331797235025,2027,,11.037527,,1.0292587,,,,,5.313059,,,,5615.2,,,7490,4260,58.69565217391305,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.966Z
1835,4195,2026-06-26,0.8413462,-1.6412661195779603,6.06826801517067,1445,,11.248458,,1.0890911,,,,,3.6057692,,,,4169.2,,,5840,3835,63.63636363636363,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.967Z
1840,234,2026-06-26,-0.84745765,2.1834061135371177,0,60,,,,0.49681634,,,,,4.2372882,,,,231.16,,,266,211,52.631578947368425,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.967Z
1844,483,2026-06-26,4.5454545,-4.166666666666666,21.35678391959799,90,,17.36161,,1.4648926,,,,,2.4891775000000003,,,,487.56,,,1450,376,41.27906976744186,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.968Z
1847,2587,2026-06-26,0.19364834,1.770259638080252,68.80913539967374,376,,5.861694,,0.938414,,,,,4.4539116,,,,2579.04,,,3305,1510,59.05511811023622,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.968Z
1848,616,2026-06-26,0.48939642,3.3557046979865772,25.45824847250509,109,,10.953058,,0.82798594,,,,,0,,,,599.28,,,854,472,75.60975609756098,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.969Z
1850,417,2026-06-26,1.7073171,1.707317073170732,32.38095238095238,117,,5.7438016,,0.6101451,,,,,1.9512194999999999,,,,403.2,,,652,310,72.88135593220339,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.970Z
