code,date,open,high,low,close,volume,adj_close
1928,2026-06-10,3271,3333,3253,3319,3790900,3319
1928,2026-06-11,3270,3307,3242,3257,3224600,3257
1928,2026-06-12,3258,3315,3250,3289,3421600,3289
9432,2026-05-15,148.8000030517578,151.8000030517578,148.5,151.8000030517578,278152000,151.8000030517578
9432,2026-05-18,151.5,152.6999969482422,150.60000610351562,152.39999389648438,213912800,152.39999389648438
9432,2026-05-19,152.8000030517578,155.3000030517578,152.6999969482422,155.3000030517578,257853300,155.3000030517578
9432,2026-05-20,156,156.89999389648438,155.60000610351562,156.5,311269500,156.5
9432,2026-05-21,156.1999969482422,156.3000030517578,153.6999969482422,153.6999969482422,237266100,153.6999969482422
9432,2026-05-22,153.8000030517578,154.39999389648438,152.10000610351562,152.60000610351562,199787000,152.60000610351562
9432,2026-05-25,152,152.3000030517578,150.39999389648438,150.6999969482422,230176700,150.6999969482422
9432,2026-05-26,151,151,149.6999969482422,149.6999969482422,242430300,149.6999969482422
9432,2026-05-27,150,151.1999969482422,149.8000030517578,151,208747800,151
9432,2026-05-28,150.5,151.10000610351562,149.6999969482422,150.10000610351562,250298400,150.10000610351562
9432,2026-05-29,151,151.1999969482422,149.5,149.5,321682500,149.5
9432,2026-06-01,149.6999969482422,149.6999969482422,148,148,283981300,148
